OPR_DATE,HOUR_ENDING,LOADING_MW_ACTUAL_CAISO,LOADING_MW_ACTUAL_PGE,LOADING_MW_ACTUAL_SCE,LOADING_MW_ACTUAL_SDGE,LOADING_MW_FORECAST_CAISO,LOADING_MW_FORECAST_PGE,LOADING_MW_FORECAST_SCE,LOADING_MW_FORECAST_SDGE,GAS_PRICE_PGE,GAS_PRICE_SCE,DA_LMP_PGE_NP15
01/02/2020 ,9,24369,11298,10729,2153,24403.6,10944.6,10962.32,2279.86,4.32,6.72,39.4
01/02/2020 ,10,23644,11035,10444,1984,23447.69,10457.32,10683.01,2100.03,4.32,6.72,32.81
01/02/2020 ,11,22753,10566,10134,1877,22600.37,10013.92,10428.55,1957.92,4.32,6.72,31.51
01/02/2020 ,12,22630,10634,9984,1842,21894.23,9589.22,10249.88,1860.77,4.32,6.72,28.57
01/02/2020 ,13,22578,10551,10017,1848,21594.29,9378.76,10197.38,1828.55,4.32,6.72,28.15
01/02/2020 ,14,22717,10448,10179,1929,21674.21,9349.35,10271.1,1867.12,4.32,6.72,28.48
01/02/2020 ,15,23255,10428,10468,2202,22030.16,9529.39,10394.59,1921.62,4.32,6.72,30.97
01/02/2020 ,16,23685,10639,10609,2279,22630.27,9884.5,10533.14,2025.94,4.32,6.72,35.46
01/02/2020 ,17,26749,12093,11838,2647,24039.16,10704.51,10945.5,2199.25,4.32,6.72,42.26
01/02/2020 ,18,27355,12374,12104,2702,26637.1,11860.27,12024.85,2556.07,4.32,6.72,64.29
01/02/2020 ,19,27473,12451,12154,2690,27074.42,11958.94,12248.44,2664.87,4.32,6.72,46.84
01/02/2020 ,20,26985,12190,12004,2614,26589.2,11704.43,12055.16,2619.32,4.32,6.72,43.7
01/02/2020 ,21,26192,11810,11684,2519,25832.62,11359.59,11746.3,2518.28,4.32,6.72,40.69
01/02/2020 ,22,25044,11246,11247,2375,24646.11,10849.31,11226.42,2366.29,4.32,6.72,39.56
01/02/2020 ,23,23480,10524,10599,2186,22953.06,10063.98,10522.26,2170.2,4.32,6.72,36.12
01/02/2020 ,24,21952,9870,9896,2011,21332.32,9356.69,9785.92,1995.1,4.32,6.72,33.83
01/03/2020 ,1,20827,9356,9383,1915,20398.85,9062.58,9204.05,1938.93,4.12,6.14,30.04
01/03/2020 ,2,20065,8999,9057,1841,19678.3,8741.87,8869.89,1873.04,4.12,6.14,29.56
01/03/2020 ,3,19736,8880,8890,1798,19216.04,8538.2,8662.33,1820.09,4.12,6.14,29.03
01/03/2020 ,4,19815,8936,8915,1796,19153.07,8528.77,8619.86,1805.76,4.12,6.14,29.25
01/03/2020 ,5,20547,9290,9228,1870,19731.17,8783.12,8884.45,1859.16,4.12,6.14,29.84
01/03/2020 ,6,22035,9973,9873,2031,21278.73,9465.14,9580.12,2021.19,4.12,6.14,31.71
01/03/2020 ,7,23793,10842,10577,2208,23719.63,10544.82,10655.7,2302.42,4.12,6.14,39.31
01/03/2020 ,8,24531,11357,10789,2219,24804.41,11223.91,11011.46,2367.41,4.12,6.14,37.61
01/03/2020 ,9,24215,11258,10698,2116,24209.03,10981.88,10774.81,2235.47,4.12,6.14,30.94
01/03/2020 ,10,23385,10829,10446,1983,23250.07,10410.83,10573.41,2060.09,4.12,6.14,30.14
01/03/2020 ,11,22689,10415,10286,1869,22424.05,9954.37,10357.58,1912.74,4.12,6.14,28.92
01/03/2020 ,12,22336,10246,10166,1828,21790.23,9539.31,10225.21,1832.2,4.12,6.14,24.29
01/03/2020 ,13,22090,10046,10079,1876,21454.12,9330.51,10131.27,1801.53,4.12,6.14,22.43
01/03/2020 ,14,22220,10111,10066,1951,21522.64,9316.64,10187.57,1834.85,4.12,6.14,22.44
01/03/2020 ,15,22613,10283,10194,2038,21788.35,9447.2,10249.71,1910.23,4.12,6.14,26.97
01/03/2020 ,16,23518,10650,10561,2212,22437.8,9835.02,10406.03,2016.26,4.12,6.14,30.44
01/03/2020 ,17,25206,11497,11201,2408,23807.87,10549.01,10874.26,2200.86,4.12,6.14,38.51
01/03/2020 ,18,26961,12350,11886,2617,26196.9,11787.35,11690.26,2528.06,4.12,6.14,49.08
01/03/2020 ,19,26975,12357,11902,2605,26434.11,11803.74,11832.93,2604.49,4.12,6.14,41.11
01/03/2020 ,20,26460,12092,11719,2535,25758.37,11442.52,11573.7,2546.27,4.12,6.14,37.79
01/03/2020 ,21,25797,11753,11469,2457,24950.72,11059.05,11242.06,2453.71,4.12,6.14,36.6
01/03/2020 ,22,24850,11280,11118,2333,23946.59,10580.96,10834.38,2336.8,4.12,6.14,34.91
01/03/2020 ,23,23441,10610,10538,2171,22581.24,9955.14,10265.62,2184.75,4.12,6.14,32.36
01/03/2020 ,24,22026,9956,9927,2024,21248.49,9349.84,9678.32,2029.68,4.12,6.14,30.49
01/04/2020 ,1,20950,9491,9411,1930,20283.68,8815.21,9354.02,1944.4,4.17,6.18,32.84
01/04/2020 ,2,20145,9119,9059,1852,19443.37,8443.74,8960.97,1876.72,4.17,6.18,31.25
01/04/2020 ,3,19673,8908,8848,1799,18958.82,8270.11,8702.79,1825.13,4.17,6.18,31.22
01/04/2020 ,4,19538,8839,8793,1785,18742.73,8190.04,8587.98,1802.67,4.17,6.18,31.28
01/04/2020 ,5,19825,8953,8930,1815,18905.88,8262.31,8666.49,1825.12,4.17,6.18,31.36
01/04/2020 ,6,20515,9261,9224,1897,19550.8,8544.83,8979.09,1878.63,4.17,6.18,32.93
01/04/2020 ,7,21407,9730,9539,2001,20613.59,8980.12,9477.48,1999.91,4.17,6.18,37.03
01/04/2020 ,8,21784,10084,9571,1994,21061.26,9376.55,9469.54,2017.41,4.17,6.18,33.2
01/04/2020 ,9,21621,10157,9453,1886,20882.91,9442.47,9291.29,1957.87,4.17,6.18,30.2
01/04/2020 ,10,21007,9952,9184,1756,20463.61,9337.15,9098.78,1845.72,4.17,6.18,25.12
01/04/2020 ,11,20480,9811,8916,1645,19816.97,9030.55,8907.32,1707.17,4.17,6.18,21.1
01/04/2020 ,12,19981,9492,8794,1591,19284.02,8757.65,8763.73,1596.58,4.17,6.18,17.73
01/04/2020 ,13,19889,9478,8712,1598,18924.41,8528.59,8696.73,1543.71,4.17,6.18,17.32
01/04/2020 ,14,20281,9743,8770,1671,18877.61,8518.46,8673.94,1530.08,4.17,6.18,16.6
01/04/2020 ,15,20699,9794,8995,1819,19103.66,8622.1,8746.91,1586.56,4.17,6.18,21.73
01/04/2020 ,16,21575,10070,9382,2030,19947.9,8985.56,9094.75,1715.67,4.17,6.18,30.16
01/04/2020 ,17,23256,10797,10092,2267,21618.94,9784.11,9756.97,1926.38,4.17,6.18,36.49
01/04/2020 ,18,25239,11696,10925,2513,24550.45,11136.55,10960.49,2290.23,4.17,6.18,39.2
01/04/2020 ,19,25423,11814,10979,2524,24984.83,11232.94,11145.62,2438.23,4.17,6.18,39.6
01/04/2020 ,20,24981,11613,10788,2471,24493.95,10940.24,10972.99,2414.1,4.17,6.18,38.99
01/04/2020 ,21,24579,11331,10741,2397,23807.09,10594.45,10708.39,2335.39,4.17,6.18,37.61
01/04/2020 ,22,23808,10918,10489,2291,22988.28,10237.25,10338.5,2243.4,4.17,6.18,37.27
01/04/2020 ,23,22589,10356,9988,2137,21908.42,9737.28,9906.23,2103.48,4.17,6.18,33.88
01/04/2020 ,24,21388,9793,9484,2000,20731.54,9249.12,9347.23,1968.97,4.17,6.18,33.01
01/05/2020 ,1,20364,9333,9013,1903,20598.77,9267.75,9266.46,1956.15,4.17,6.18,33.88
01/05/2020 ,2,19675,9039,8690,1832,19746.75,8864.31,8893.66,1883.66,4.17,6.18,31.45
01/05/2020 ,3,19466,9084,8486,1778,19151.13,8586.05,8638.55,1819.39,4.17,6.18,31.39
01/05/2020 ,4,19300,9002,8414,1760,18875.97,8493.32,8489.79,1782.99,4.17,6.18,30.35
01/05/2020 ,5,19493,9086,8489,1786,18868.03,8483.8,8469.54,1800.18,4.17,6.18,30.45
01/05/2020 ,6,19968,9284,8695,1855,19224.67,8663.65,8588.54,1849.71,4.17,6.18,31.22
01/05/2020 ,7,20485,9476,8931,1939,19961.81,9083.46,8815.23,1934.71,4.17,6.18,34.16
01/05/2020 ,8,20867,9873,8916,1937,20350.52,9442.13,8832.49,1945.61,4.17,6.18,32.46
01/05/2020 ,9,20808,10019,8826,1832,20166.74,9436.24,8698.82,1890.74,4.17,6.18,30.31
01/05/2020 ,10,20346,9903,8641,1683,19584.56,9182.2,8507.62,1770.28,4.17,6.18,24.18
01/05/2020 ,11,19895,9784,8442,1558,18860.31,8756.91,8343.83,1643.78,4.17,6.18,17.76
01/05/2020 ,12,19500,9558,8334,1502,18338.62,8419.66,8254.75,1566.98,4.17,6.18,16.66
01/05/2020 ,13,19416,9468,8323,1522,18202.67,8280.48,8259.49,1572.17,4.17,6.18,16.17
01/05/2020 ,14,19569,9394,8472,1606,18289.11,8294.4,8306.1,1594.41,4.17,6.18,15
01/05/2020 ,15,20016,9496,8649,1775,18883.24,8594.66,8490.5,1696.38,4.17,6.18,17.32
01/05/2020 ,16,21118,9963,9047,2010,19889.6,9106.75,8856.64,1829.27,4.17,6.18,27.5
01/05/2020 ,17,23200,10900,9892,2301,21795.41,10085.68,9556.11,2054.34,4.17,6.18,34.76
01/05/2020 ,18,25485,11936,10873,2560,24894.55,11470.99,10860.36,2457.11,4.17,6.18,37.55
01/05/2020 ,19,25906,12131,11077,2583,25605.59,11814.87,11116.1,2566.19,4.17,6.18,37.45
01/05/2020 ,20,25592,11937,11010,2526,25306.69,11684.14,10996.79,2513.86,4.17,6.18,37.45
01/05/2020 ,21,24957,11587,10810,2431,24650.79,11387.13,10745.14,2405.81,4.17,6.18,36.44
01/05/2020 ,22,23894,11031,10455,2291,23667.9,10940.71,10327.98,2287.46,4.17,6.18,36.19
01/05/2020 ,23,22334,10241,9862,2111,22269.96,10207.68,9821.02,2128.03,4.17,6.18,34.05
01/05/2020 ,24,20952,9571,9302,1958,20797.69,9494.29,9210.89,1981.8,4.17,6.18,29.84
01/06/2020 ,1,20095,9206,8895,1882,20204.59,9420.83,8795.42,1881.7,4.17,6.18,30.34
01/06/2020 ,2,19540,8955,8637,1824,19471.22,9034.35,8506.45,1826.53,4.17,6.18,29.06
01/06/2020 ,3,19264,8857,8483,1794,19131.07,8870.3,8363.19,1790.54,4.17,6.18,27.72
01/06/2020 ,4,19390,8925,8529,1810,19182.96,8912.62,8373.71,1786.39,4.17,6.18,28
01/06/2020 ,5,20298,9376,8876,1912,19902.47,9246.14,8686.61,1846.98,4.17,6.18,29.82
01/06/2020 ,6,22147,10224,9656,2120,21637.41,10038.76,9452.35,2020.87,4.17,6.18,35.66
01/06/2020 ,7,24487,11393,10572,2360,24383.51,11336.8,10590.03,2320.79,4.17,6.18,46.46
01/06/2020 ,8,25481,12044,10903,2386,25687.66,12152.15,11017.18,2382.05,4.17,6.18,43.6
01/06/2020 ,9,24872,11811,10712,2219,25176.23,11790.36,11010.67,2248.97,4.17,6.18,40.19
01/06/2020 ,10,23690,11265,10265,2043,24219.67,11180.97,10850.31,2071.51,4.17,6.18,29.11
01/06/2020 ,11,22848,10788,10019,1932,23406.54,10639.78,10709.78,1944.1,4.17,6.18,27.65
01/06/2020 ,12,22539,10690,9881,1866,22800.19,10207.05,10609.26,1873.43,4.17,6.18,27.41
01/06/2020 ,13,22491,10692,9820,1884,22565.23,9979.33,10584.02,1893.75,4.17,6.18,23.2
01/06/2020 ,14,22447,10445,9944,1965,22743.23,10045.29,10665.39,1926.51,4.17,6.18,22.52
01/06/2020 ,15,22647,10277,10171,2106,23115.71,10217.07,10781.91,2018.52,4.17,6.18,25.65
01/06/2020 ,16,23770,10793,10581,2299,23683.01,10509.35,10918.95,2156.43,4.17,6.18,35.57
01/06/2020 ,17,25636,11725,11272,2529,25177.93,11407.49,11330.68,2336.89,4.17,6.18,47.89
01/06/2020 ,18,27575,12735,11998,2725,27866.64,12643.94,12454.52,2660.12,4.17,6.18,69.23
01/06/2020 ,19,27712,12907,11977,2709,28364.05,12968.65,12562.43,2720.65,4.17,6.18,49.46
01/06/2020 ,20,27146,12659,11732,2621,27850.66,12796.73,12297.54,2642.55,4.17,6.18,49.06
01/06/2020 ,21,26271,12242,11385,2505,27037.01,12474.69,11918.7,2531.64,4.17,6.18,44.99
01/06/2020 ,22,24887,11561,10845,2345,25706.85,11876.9,11321.09,2399.77,4.17,6.18,40
01/06/2020 ,23,23099,10668,10149,2147,23863.54,11042.28,10525.74,2190.17,4.17,6.18,36.92
01/06/2020 ,24,21553,9941,9500,1982,22206.9,10251.45,9833.5,2017,4.17,6.18,34.19
01/07/2020 ,1,20591,9541,9018,1902,20956.38,9593.29,9302.87,1950.47,4.36,6.18,30.69
01/07/2020 ,2,19951,9256,8727,1839,20220.94,9271.65,8948.17,1880.64,4.36,6.18,29.49
01/07/2020 ,3,19641,9121,8586,1801,19809.3,9148.56,8692.95,1837.66,4.36,6.18,28.93
01/07/2020 ,4,19766,9186,8637,1811,19675.14,9107.25,8611.13,1835.11,4.36,6.18,29.19
01/07/2020 ,5,20666,9595,9026,1900,20256.21,9401.25,8823.43,1903.68,4.36,6.18,30.93
01/07/2020 ,6,22584,10494,9830,2101,21852.44,10093.32,9539.2,2079.66,4.36,6.18,35.49
01/07/2020 ,7,24903,11679,10723,2336,24553.78,11375.64,10647.85,2367.76,4.36,6.18,40.65
01/07/2020 ,8,25824,12349,10954,2355,25646.4,12098.28,10967.23,2432.84,4.36,6.18,40.86
01/07/2020 ,9,25282,12183,10724,2209,25306.86,11775.86,11098.62,2298.33,4.36,6.18,35.33
01/07/2020 ,10,24411,11762,10458,2035,24349.06,11235.77,10852.1,2138.22,4.36,6.18,30.03
01/07/2020 ,11,23633,11323,10234,1926,23456.92,10690.67,10630.76,2018.98,4.36,6.18,26.19
01/07/2020 ,12,23110,10967,10126,1876,22794.19,10269.71,10481.46,1933.52,4.36,6.18,26.19
01/07/2020 ,13,23024,10828,10173,1885,22550.21,10066.98,10450.14,1927.16,4.36,6.18,24.85
01/07/2020 ,14,23160,10726,10349,1952,22680.96,10089.37,10546.77,1947.32,4.36,6.18,25.68
01/07/2020 ,15,23496,10789,10504,2079,23032.88,10217.14,10690.93,2028,4.36,6.18,27.68
01/07/2020 ,16,24354,11262,10726,2244,23744.05,10598.49,10893.97,2155.5,4.36,6.18,32.86
01/07/2020 ,17,25910,12086,11214,2485,25093.46,11319.24,11327.36,2345.14,4.36,6.18,36.15
01/07/2020 ,18,27781,13005,11947,2705,27808.64,12630.92,12396.53,2669.55,4.36,6.18,41.28
01/07/2020 ,19,27950,13153,11965,2708,28299.79,12908.41,12527.74,2751.1,4.36,6.18,42.56
01/07/2020 ,20,27422,12904,11756,2634,27786.32,12664.66,12310.95,2697.99,4.36,6.18,39.85
01/07/2020 ,21,26529,12421,11449,2529,26943.52,12270.15,11955.95,2587.68,4.36,6.18,38.18
01/07/2020 ,22,25110,11681,10916,2386,25654.42,11682.59,11445.51,2412.71,4.36,6.18,35.84
01/07/2020 ,23,23268,10747,10221,2176,23758.14,10771.25,10678.03,2193.89,4.36,6.18,33.43
01/07/2020 ,24,21654,9958,9552,2018,22062.99,10000.43,9930.96,2010.01,4.36,6.18,30.89
01/08/2020 ,1,20640,9502,9062,1956,20653.13,9470.16,9096.28,1964.2,4.38,5.85,30.07
01/08/2020 ,2,19991,9180,8766,1925,19903.59,9127.94,8753.1,1904.11,4.38,5.85,28.84
01/08/2020 ,3,19659,9022,8618,1899,19463.23,8938.19,8546.31,1856.48,4.38,5.85,28.22
01/08/2020 ,4,19740,9068,8649,1901,19395.62,8926.75,8513.71,1838.4,4.38,5.85,28.39
01/08/2020 ,5,20552,9428,9032,1969,20027.02,9207.97,8792.9,1896.21,4.38,5.85,30.3
01/08/2020 ,6,22366,10256,9814,2175,21650.77,9894.74,9543.99,2068.34,4.38,5.85,35.19
01/08/2020 ,7,24661,11388,10719,2427,24231.11,11031.03,10687.58,2359.63,4.38,5.85,38.53
01/08/2020 ,8,25708,12100,10999,2470,25558.14,11941.49,11033.44,2437.49,4.38,5.85,38.69
01/08/2020 ,9,25371,12064,10830,2343,25171.71,11823.33,10893,2324.59,4.38,5.85,34.71
01/08/2020 ,10,24853,11904,10514,2314,24426.59,11473.6,10669.84,2164.09,4.38,5.85,32.89
01/08/2020 ,11,24408,11793,10219,2283,23681.21,11063.2,10463.52,2041.31,4.38,5.85,26.46
01/08/2020 ,12,23796,11601,9987,2100,23068.23,10710.81,10299.29,1951.54,4.38,5.85,26.23
01/08/2020 ,13,23238,11258,9882,1994,22755.1,10504.91,10228.88,1923.09,4.38,5.85,23.73
01/08/2020 ,14,23035,11025,9941,1968,22706.7,10409.49,10279.87,1920.08,4.38,5.85,24.93
01/08/2020 ,15,23326,11043,10077,2105,22863.13,10394.49,10394.68,1977.29,4.38,5.85,27.76
01/08/2020 ,16,24299,11460,10430,2306,23472.85,10699.24,10589.42,2085.33,4.38,5.85,32.8
01/08/2020 ,17,25835,12220,11028,2474,24917.52,11479.21,11040.49,2287.76,4.38,5.85,37.34
01/08/2020 ,18,27493,13032,11649,2692,27609.23,12638.13,12184.04,2670.77,4.38,5.85,40.73
01/08/2020 ,19,27685,13145,11734,2686,28059.22,12854.92,12310.65,2778.26,4.38,5.85,42.47
01/08/2020 ,20,27334,12863,11722,2624,27540.21,12597.67,12095.25,2715.69,4.38,5.85,40.45
01/08/2020 ,21,26737,12431,11662,2517,26658.28,12203.98,11737.14,2582.09,4.38,5.85,38.1
01/08/2020 ,22,25606,11762,11383,2340,25315.32,11601.85,11176.03,2406.35,4.38,5.85,36.75
01/08/2020 ,23,23768,10856,10631,2166,23450.8,10713.9,10412.72,2196.39,4.38,5.85,34.14
01/08/2020 ,24,21861,9952,9724,2068,21753.84,9938.15,9681.56,2010.48,4.38,5.85,30.77
01/09/2020 ,1,20783,9513,9154,1999,20614.29,9410.91,9112.63,1984,4.42,5.44,31.05
01/09/2020 ,2,20058,9199,8816,1923,19855.87,9093.46,8742.28,1913,4.42,5.44,30.05
01/09/2020 ,3,19718,9050,8665,1881,19395.88,8894.98,8531.12,1862,4.42,5.44,29.49
01/09/2020 ,4,19832,9112,8719,1877,19297.31,8863.9,8482.38,1840,4.42,5.44,29.77
01/09/2020 ,5,20651,9507,9068,1948,19864.57,9119.06,8740.99,1887,4.42,5.44,31.86
01/09/2020 ,6,22432,10342,9839,2116,21413.23,9775.35,9481.31,2036,4.42,5.44,36.47
01/09/2020 ,7,24616,11374,10752,2342,23933.76,10865.11,10629.02,2306,4.42,5.44,42.12
01/09/2020 ,8,25756,12118,11070,2415,25295.7,11722.06,11016.34,2416,4.42,5.44,41.58
01/09/2020 ,9,25523,12114,10947,2320,25156.94,11699.06,10935.44,2390,4.42,5.44,37.67
01/09/2020 ,10,25115,12011,10769,2215,24774.78,11554.21,10764.02,2332,4.42,5.44,35.23
01/09/2020 ,11,24608,11705,10653,2143,24287.24,11351.92,10579.6,2238,4.42,5.44,29.55
01/09/2020 ,12,24004,11302,10436,2169,23780.6,11082.11,10423.69,2168,4.42,5.44,26.63
01/09/2020 ,13,23653,10983,10400,2178,23407.76,10788.95,10336.77,2181,4.42,5.44,25.05
01/09/2020 ,14,23749,10917,10550,2192,23284.54,10635.08,10311.07,2242,4.42,5.44,23.55
01/09/2020 ,15,23799,10922,10544,2244,23318.88,10545.55,10369.66,2310,4.42,5.44,27.03
01/09/2020 ,16,24497,11177,10797,2429,23717.74,10799.4,10453.63,2368,4.42,5.44,32.69
01/09/2020 ,17,25944,11823,11391,2620,25010.87,11464.68,10927.64,2514,4.42,5.44,38.5
01/09/2020 ,18,27829,12728,12185,2796,27420.42,12582.07,11934.48,2785,4.42,5.44,43.71
01/09/2020 ,19,28142,12967,12272,2781,27836.05,12786.77,12138.67,2788,4.42,5.44,42.48
01/09/2020 ,20,27685,12724,12132,2706,27313.44,12547.82,11944.35,2698,4.42,5.44,42.6
01/09/2020 ,21,26898,12316,11855,2606,26524.27,12176.07,11641.89,2585,4.42,5.44,42.19
01/09/2020 ,22,25582,11656,11344,2463,25303.1,11614.34,11129.24,2443,4.42,5.44,39.38
01/09/2020 ,23,23820,10824,10644,2242,23504.25,10751.53,10411.64,2231,4.42,5.44,36.01
01/09/2020 ,24,22275,10116,9960,2088,21873.53,10008.68,9699.95,2052,4.42,5.44,33.85
01/10/2020 ,1,21296,9665,9471,2046,20685.97,9392.66,9198.05,1979.37,4.43,5.72,32.4
01/10/2020 ,2,20642,9435,9127,1964,19973.51,9096.34,8847.94,1911.25,4.43,5.72,30.62
01/10/2020 ,3,20575,9517,9018,1923,19582.02,8937.28,8657.44,1866.19,4.43,5.72,30.69
01/10/2020 ,4,20603,9476,9074,1932,19568.15,8959.76,8629.96,1854.3,4.43,5.72,31.14
01/10/2020 ,5,21223,9664,9422,2013,20196.65,9226.55,8930.12,1910.76,4.43,5.72,35.67
01/10/2020 ,6,23068,10530,10227,2182,21779.11,9895.06,9669.46,2082.16,4.43,5.72,38.61
01/10/2020 ,7,25403,11665,11165,2437,24348.98,11065.36,10764.96,2370.13,4.43,5.72,51.09
01/10/2020 ,8,26297,12272,11412,2480,25364.86,11753.18,11030.88,2430.28,4.43,5.72,47.07
01/10/2020 ,9,25525,11969,11116,2318,24753.16,11595.37,10748.99,2279.13,4.43,5.72,37.22
01/10/2020 ,10,24187,11330,10644,2106,23669.36,11109.95,10360.39,2080.52,4.43,5.72,34.5
01/10/2020 ,11,22993,10700,10291,1903,22688.82,10613.85,10046.58,1922.07,4.43,5.72,31.05
01/10/2020 ,12,22155,10226,10008,1829,21900.38,10191.95,9795.62,1812.57,4.43,5.72,30.87
01/10/2020 ,13,21735,10013,9817,1820,21503.58,9971.67,9663.21,1775.59,4.43,5.72,28.8
01/10/2020 ,14,21900,10144,9804,1867,21540.8,9920.99,9719.87,1809.74,4.43,5.72,26.11
01/10/2020 ,15,22204,10209,9924,1984,21719.09,9883.1,9862.91,1883.81,4.43,5.72,26.81
01/10/2020 ,16,23238,10665,10313,2171,22540.9,10309.63,10117.94,2015.18,4.43,5.72,34.61
01/10/2020 ,17,25105,11537,11042,2427,24108.38,11096.9,10672.79,2233.08,4.43,5.72,38.06
01/10/2020 ,18,27129,12488,11860,2673,26925,12279.81,11907.47,2619.93,4.43,5.72,48.33
01/10/2020 ,19,27306,12570,11949,2677,27299.9,12372.99,12094.07,2710.96,4.43,5.72,49.19
01/10/2020 ,20,26812,12300,11786,2614,26665.25,12067.53,11826.3,2644.92,4.43,5.72,41.32
01/10/2020 ,21,26144,11945,11550,2536,25922.92,11734.66,11502.64,2556.95,4.43,5.72,40.08
01/10/2020 ,22,25101,11423,11136,2430,24948.24,11301.06,11077.76,2446.33,4.43,5.72,38.25
01/10/2020 ,23,23638,10718,10523,2289,23516.28,10643.69,10480.88,2276.83,4.43,5.72,37.7
01/10/2020 ,24,22127,10015,9863,2140,21982.57,9964.23,9795.41,2107.69,4.43,5.72,35.6
01/11/2020 ,1,20996,9519,9353,2016,20925.54,9431.58,9363.47,2015,4.38,6.23,34.84
01/11/2020 ,2,20219,9179,9000,1931,20125.51,9084.33,8981.19,1942,4.38,6.23,31.87
01/11/2020 ,3,19720,8961,8769,1878,19593.43,8853.3,8735.03,1887,4.38,6.23,30.53
01/11/2020 ,4,19575,8872,8721,1866,19381.7,8768.98,8623.79,1867,4.38,6.23,30.54
01/11/2020 ,5,19856,8960,8875,1901,19594.34,8865.99,8709.54,1894,4.38,6.23,31.7
01/11/2020 ,6,20670,9309,9239,1994,20319.43,9204.35,9036.37,1951,4.38,6.23,35.74
01/11/2020 ,7,21732,9846,9633,2114,21466.76,9753.29,9489.43,2090,4.38,6.23,37.36
01/11/2020 ,8,22222,10275,9692,2112,21919.33,10206.66,9480.7,2098,4.38,6.23,37.49
01/11/2020 ,9,22078,10447,9502,1999,21650.64,10289.42,9242.15,1977,4.38,6.23,34.11
